"","forecast_EQdiffar1"
"255",125.051957936816
"256",-41.2306345684665
"257",-153.084143679582
"258",-106.44891092527
"259",16.6593802092088
"260",148.052019190981
"261",134.174204285186
"262",-118.824713603357
"263",94.640721604261
"264",-157.918536491217
"265",277.12684347405
"266",-55.187035759748
"267",-72.7803678646555
"268",70.4737563775699
"269",-26.8026551290818
"270",-90.0137390859113
"271",-40.1713330179864
"272",-84.0802030877148
"273",236.1693155439
"274",-65.415352000718
"275",81.1520083507075
"276",-223.758504060249
"277",53.6109374126591
"278",176.13990630065
"279",-173.46827004242
"280",23.7757325881313
"281",79.589899809779
"282",-145.952452617593
"283",-94.2154305029314
"284",204.404675033726
"285",-24.4322099950122
"286",181.694048399455
"287",-450.094103388611
"288",78.9499680105035
"289",266.225348876994
"290",-4.61493688223723
